Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Heroku app,Edge Chromium 116,,,2023-08-25 16:21:15,2023-08-25 16:26:04,"4m - 48,537s",FAILED
,,,,,,,
Test Cases/Login/Test Case 1.1 (Manual),Edge Chromium 116,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 16:21:16,2023-08-25 16:21:31,"15,854s",PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 16:21:16,2023-08-25 16:21:26,"9,846s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle_Home_Page""), 10)",Edge Chromium 116,,,2023-08-25 16:21:26,2023-08-25 16:21:26,"0,388s",PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 116,,,2023-08-25 16:21:26,2023-08-25 16:21:27,"0,477s",PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 116,,,2023-08-25 16:21:27,2023-08-25 16:21:28,"1,574s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 10)",Edge Chromium 116,,,2023-08-25 16:21:28,2023-08-25 16:21:29,"0,362s",PASSED
"setText(findTestObject(""Login/Input Username""), ""John Doe"")",Edge Chromium 116,,,2023-08-25 16:21:29,2023-08-25 16:21:29,"0,798s",PASSED
"setEncryptedText(findTestObject(""Login/Input Password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 116,,,2023-08-25 16:21:29,2023-08-25 16:21:30,"0,496s",PASSED
"click(findTestObject(""Login/Button Login""))",Edge Chromium 116,,,2023-08-25 16:21:30,2023-08-25 16:21:31,"1,024s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Make Appointment""), 10)",Edge Chromium 116,,,2023-08-25 16:21:31,2023-08-25 16:21:31,"0,491s",PASSED
,,,,,,,
Test Cases/Login/Test Case 1.2 (manual),Edge Chromium 116,Test Case ketika user login dengan menggunakan detail yang invalid.,,2023-08-25 16:21:31,2023-08-25 16:21:52,"20,106s",PASSED
openBrowser(WEB_URL),Edge Chromium 116,,,2023-08-25 16:21:32,2023-08-25 16:21:40,"8,572s",PASSED
maximizeWindow(),Edge Chromium 116,,,2023-08-25 16:21:40,2023-08-25 16:21:40,"0,161s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle_Home_Page""), 10)",Edge Chromium 116,,,2023-08-25 16:21:40,2023-08-25 16:21:41,"0,373s",PASSED
"click(findTestObject(""Login/Menu Burger""))",Edge Chromium 116,,,2023-08-25 16:21:41,2023-08-25 16:21:41,"0,392s",PASSED
"click(findTestObject(""Login/Menu Login""))",Edge Chromium 116,,,2023-08-25 16:21:41,2023-08-25 16:21:42,"1,091s",PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 10)",Edge Chromium 116,,,2023-08-25 16:21:42,2023-08-25 16:21:43,"0,373s",PASSED
"setText(findTestObject(""Login/Input Username""), username)",Edge Chromium 116,,,2023-08-25 16:21:43,2023-08-25 16:21:44,"0,854s",PASSED
"setEncryptedText(findTestObject(""Login/Input Password""), password)",Edge Chromium 116,,,2023-08-25 16:21:44,2023-08-25 16:21:44,"0,475s",PASSED
"click(findTestObject(""Login/Button Login""))",Edge Chromium 116,,,2023-08-25 16:21:44,2023-08-25 16:21:45,"1,279s",PASSED
